Gene Omega Class
FBgn0003463 0.04201 devo
FBgn0003475 0.11532 devo
FBgn0003479 0.02881 devo
FBgn0003480 0.08291 devo
FBgn0003486 0.04968 devo
FBgn0003502 0.03123 devo
FBgn0003510 0.13526 devo
FBgn0003512 0.04195 devo
FBgn0003514 0.00643 devo
FBgn0003520 0.10356 devo
FBgn0003525 0.06917 devo
FBgn0003527 0.15558 devo
FBgn0003545 0.06448 devo
FBgn0003557 0.03567 devo
FBgn0003654 0.02759 devo
FBgn0003655 0.15333 devo
FBgn0003656 0.05332 devo
FBgn0003676 0.01148 devo
FBgn0003701 0.13885 devo
FBgn0003716 0.05733 devo
FBgn0003719 0.03692 devo
FBgn0003733 0.12198 devo
FBgn0003741 0.26124 devo
FBgn0003742 0.13328 devo
FBgn0003744 0.0048 devo
FBgn0003748 0.07891 devo
FBgn0003751 0.08459 devo
FBgn0003865 0.07667 devo
FBgn0003867 0.0445 devo
FBgn0003870 0.09337 devo
FBgn0003885 0.00106 devo
FBgn0003886 0.00316 devo
FBgn0003888 0.00473 devo
FBgn0003889 1e-04 devo
FBgn0003892 0.0402 devo
FBgn0003900 0.05038 devo
FBgn0003943 1e-04 devo
FBgn0003944 0.04022 devo
FBgn0003950 0.17126 devo
FBgn0003964 0.04726 devo
FBgn0003969 0.01953 devo
FBgn0003975 0.07244 devo
FBgn0003978 0.10289 devo
FBgn0003979 0.1136 devo
FBgn0003980 0.12889 devo
FBgn0003997 0.17389 devo
FBgn0004003 0.07825 devo
FBgn0004034 0.05502 devo
FBgn0004045 0.09566 devo
FBgn0004049 0.0577 devo
FBgn0004052 0.1183 devo
FBgn0004053 0.11187 devo
FBgn0004055 0.07697 devo
FBgn0004101 0.08312 devo
FBgn0004103 0.01252 devo
FBgn0004106 0.01633 devo
FBgn0004108 0.06675 devo
FBgn0004110 0.08053 devo
FBgn0004117 0.06341 devo
FBgn0004133 0.08079 devo
FBgn0004143 0.10647 devo
FBgn0004167 0.02185 devo
FBgn0004169 0.07061 devo
FBgn0004170 0.07378 devo
FBgn0004171 0.00182 devo
FBgn0004177 0.00216 devo
FBgn0004198 0.09049 devo
FBgn0004237 0.02315 devo
FBgn0004242 0.04046 devo
FBgn0004359 0.04583 devo
FBgn0004360 0.07648 devo
FBgn0004363 0.02311 devo
FBgn0004368 0.06868 devo
FBgn0004372 0.15962 devo
FBgn0004373 0.07538 devo
FBgn0004380 0.02029 devo
FBgn0004387 0.03365 devo
FBgn0004389 0.12298 devo
FBgn0004394 0.04028 devo
FBgn0004400 0.30419 devo
FBgn0004509 0.08084 devo
FBgn0004513 0.03162 devo
FBgn0004516 0.02117 devo
FBgn0004569 0.04934 devo
FBgn0004577 0.0512 devo
FBgn0004581 0.13953 devo
FBgn0004583 0.07018 devo
FBgn0004588 0.00404 devo
FBgn0004590 0.2566 devo
FBgn0004597 0.00585 devo
FBgn0004598 0.06822 devo
FBgn0004607 0.11033 devo
FBgn0004620 0.05306 devo
FBgn0004635 0.05772 devo
FBgn0004638 0.00851 devo
FBgn0004648 0.08034 devo
FBgn0004650 0.14141 devo
FBgn0004652 0.07924 devo
FBgn0004666 0.05352 devo
FBgn0004777 0.04489 devo
FBgn0004778 0.06248 devo
FBgn0004779 0.12139 devo
FBgn0004780 0.05712 devo
FBgn0004781 0.05835 devo
FBgn0004782 0.09983 devo
FBgn0004783 0.15248 devo
FBgn0004784 0.02983 devo
FBgn0004795 0.07816 devo
FBgn0004797 0.04094 devo
FBgn0004811 0.04403 devo
FBgn0004838 0.01122 devo
FBgn0004839 0.06067 devo
FBgn0004852 0.06699 devo
FBgn0004856 0.02763 devo
FBgn0004858 0.0943 devo
FBgn0004862 0.07384 devo
FBgn0004863 0.03474 devo
FBgn0004870 0.07943 devo
FBgn0004876 0.08195 devo
FBgn0004878 0.07729 devo
FBgn0004885 0.06145 devo
FBgn0004889 0.01094 devo
FBgn0004892 0.07376 devo
FBgn0004893 0.04508 devo
FBgn0004895 0.07678 devo
FBgn0004896 0.06949 devo
FBgn0004897 0.09138 devo
FBgn0004898 0.16359 devo
FBgn0004901 0.02953 devo
FBgn0004903 0.09833 devo
FBgn0004907 0.03793 devo
FBgn0004908 0.02182 devo
FBgn0004913 0.08057 devo
FBgn0004914 0.06274 devo
FBgn0004919 0.06018 devo
FBgn0004924 0.05723 devo
FBgn0004926 0.03611 devo
FBgn0004959 0.09137 devo
FBgn0005198 0.06797 devo
FBgn0005322 0.04575 devo
FBgn0005386 0.0764 devo
FBgn0005390 0.16236 devo
FBgn0005427 0.05945 devo
FBgn0005536 0.08203 devo
FBgn0005558 0.11261 devo
FBgn0005561 0.08873 devo
FBgn0005590 0.08781 devo
FBgn0005593 0.03216 devo
FBgn0005612 0.18959 devo
FBgn0005613 0.08234 devo
FBgn0005624 0.1164 devo
FBgn0005631 0.05297 devo
FBgn0005633 0.11782 devo
FBgn0005638 0.0406 devo
FBgn0005654 0.06854 devo
FBgn0005655 0.00747 devo
FBgn0005658 0.0588 devo
FBgn0005659 0.07509 devo
FBgn0005660 0.18961 devo
FBgn0005672 0.07784 devo
FBgn0005677 0.04902 devo
FBgn0005683 0.1117 devo
FBgn0005695 0.04992 devo
FBgn0005771 0.03658 devo
FBgn0005775 0.06647 devo
FBgn0008646 0.07762 devo
FBgn0010019 0.03624 devo
FBgn0010097 0.02173 devo
FBgn0010105 0.14973 devo
FBgn0010109 0.07374 devo
FBgn0010215 0.00666 devo
FBgn0010235 0.01037 devo
FBgn0010238 0.03608 devo
FBgn0010246 0.03466 devo
FBgn0010258 0.19034 devo
FBgn0010287 0.02325 devo
FBgn0010300 0.04551 devo
FBgn0010314 0.00533 devo
FBgn0010316 0.14057 devo
FBgn0010317 0.14619 devo
FBgn0010328 0.06184 devo
FBgn0010340 0.07512 devo
FBgn0010350 0.02287 devo
FBgn0010380 0.00967 devo
FBgn0010383 0.02143 devo
FBgn0010391 0.05206 devo
FBgn0010397 0.04436 devo
FBgn0010407 0.05461 devo
FBgn0010433 0.06955 devo
FBgn0010434 0.03471 devo
FBgn0010470 0.02879 devo
FBgn0010497 0.06485 devo
FBgn0010501 0.117 devo
FBgn0010504 0.03814 devo
FBgn0010516 0.04143 devo
FBgn0010531 0.08435 devo
FBgn0010549 0.26737 devo
FBgn0010583 0.02813 devo
FBgn0010591 0.04535 devo
FBgn0010651 0.09383 devo
FBgn0010741 0.07066 devo
FBgn0010762 0.07461 devo
FBgn0010768 0.0326 devo
FBgn0010770 0.04215 devo
FBgn0010772 0.07007 devo
FBgn0010803 0.04297 devo
FBgn0010825 0.09029 devo
FBgn0010894 0.04323 devo
FBgn0010905 0.05205 devo
FBgn0011020 0.0746 devo
FBgn0011205 0.04207 devo
FBgn0011206 0.08526 devo
FBgn0011207 0.01997 devo
FBgn0011224 0.03344 devo
FBgn0011225 0.0199 devo
FBgn0011230 0.04368 devo
FBgn0011232 0.04334 devo
FBgn0011239 0.37563 devo
FBgn0011260 0.01911 devo
FBgn0011300 0.10295 devo
FBgn0011335 0.14153 devo
FBgn0011455 0.05872 devo
FBgn0011569 0.19589 devo
FBgn0011570 0.00596 devo
FBgn0011591 0.04329 devo
FBgn0011592 0.04923 devo
FBgn0011596 0.14759 devo
FBgn0011603 0.05521 devo
FBgn0011604 0.01218 devo
FBgn0011640 0.02139 devo
FBgn0011642 0.12579 devo
FBgn0011648 0.00608 devo
FBgn0011655 0.05555 devo
FBgn0011661 0.01306 devo
FBgn0011666 0.06894 devo
FBgn0011674 0.08522 devo
FBgn0011692 0.03838 devo
FBgn0011695 0.05693 devo
FBgn0011701 0.07849 devo
FBgn0011703 0.03233 devo
FBgn0011705 0.08094 devo
FBgn0011708 0.05837 devo
FBgn0011710 0.01751 devo
FBgn0011715 0.00146 devo
FBgn0011723 0.06206 devo
FBgn0011725 0.02219 devo
FBgn0011737 0.0484 devo
FBgn0011739 0.04247 devo
FBgn0011742 0.00867 devo
FBgn0011754 0.02142 devo
FBgn0011760 0.00425 devo
FBgn0011761 0.02132 devo
FBgn0011763 0.10511 devo
FBgn0011769 0.05987 devo
FBgn0011771 0.0051 devo
FBgn0011785 0.05946 devo
FBgn0011822 0.22189 devo
FBgn0011826 0.08374 devo
FBgn0011829 0.08306 devo
FBgn0012037 0.03889 devo
FBgn0013263 0.0993 devo
FBgn0013300 0.13984 devo
FBgn0013301 0.13621 devo
FBgn0013323 0.12969 devo
FBgn0013343 0.01379 devo
FBgn0013433 0.15156 devo
FBgn0013563 0.03915 devo
FBgn0013718 0.0526 devo
FBgn0013720 0.02365 devo
FBgn0013725 0.18873 devo
FBgn0013726 0.01821 devo
FBgn0013732 0.08143 devo
FBgn0013746 0.00491 devo
FBgn0013749 0.00529 devo
FBgn0013750 0.02277 devo
FBgn0013756 0.07537 devo
FBgn0013764 0.01606 devo
FBgn0013765 0.12232 devo
FBgn0013997 0.03693 devo
FBgn0014006 0.0363 devo
FBgn0014007 0.08352 devo
FBgn0014010 0.02622 devo
FBgn0014024 0.16512 devo
FBgn0014029 0.00602 devo
FBgn0014037 0.10618 devo
FBgn0014076 0.15678 devo
FBgn0014127 0.10222 devo
FBgn0014133 0.17975 devo
FBgn0014135 0.19148 devo
FBgn0014143 0.03011 devo
FBgn0014163 0.04462 devo
FBgn0014269 0.06928 devo
FBgn0014388 0.08553 devo
FBgn0014411 0.04428 devo
FBgn0014454 0.13196 devo
FBgn0014464 0.07824 devo
FBgn0014465 0.1121 devo
FBgn0014466 0.18164 devo
FBgn0014848 0.25768 devo
FBgn0014849 0.19104 devo
FBgn0014850 0.08566 devo
FBgn0014851 0.10076 devo
FBgn0014863 0.02609 devo
FBgn0014870 0.0501 devo
FBgn0014906 0.02765 devo
FBgn0015000 0.07393 devo
FBgn0015019 0.01182 devo
FBgn0015024 0.01804 devo
FBgn0015075 0.0392 devo
FBgn0015229 0.28151 devo
FBgn0015240 0.05555 devo
FBgn0015268 0.07392 devo
FBgn0015270 0.06225 devo
FBgn0015277 0.02422 devo
FBgn0015279 0.07412 devo
FBgn0015295 0.06857 devo
FBgn0015396 0.07839 devo
FBgn0015399 0.04113 devo
FBgn0015509 0.02793 devo
FBgn0015527 0.10221 devo
FBgn0015550 0.07252 devo
FBgn0015582 0.10269 devo
FBgn0015589 0.07702 devo
FBgn0015591 0.09251 devo
FBgn0015602 0.10643 devo
FBgn0015614 0.00074 devo
FBgn0015618 0.00372 devo
FBgn0015623 0.02136 devo
FBgn0015625 0.07763 devo
FBgn0015664 0.0611 devo
FBgn0015754 0.01791 devo
FBgn0015772 0.06894 devo
FBgn0015773 0.10272 devo
FBgn0015774 0.07352 devo
FBgn0015777 0.05039 devo
FBgn0015778 0.04835 devo
FBgn0015789 0.02001 devo
FBgn0015790 0.0295 devo
FBgn0015793 0.02482 devo
FBgn0015797 0.00089 devo
FBgn0015803 0.08886 devo
FBgn0015805 0.01854 devo
FBgn0015903 0.05722 devo
FBgn0015905 0.06327 devo
FBgn0015919 0.13044 devo
FBgn0015925 0.08411 devo
FBgn0016031 0.06871 devo
FBgn0016032 0.08542 devo
FBgn0016047 0.0404 devo
FBgn0016053 0.10789 devo
FBgn0016059 0.07058 devo
FBgn0016061 0.06072 devo
FBgn0016075 0.12545 devo
FBgn0016076 0.07745 devo
FBgn0016120 0.04555 devo
FBgn0016122 0.06071 devo
FBgn0016123 0.07455 devo
FBgn0016131 0.07676 devo
FBgn0016693 0.01411 devo
FBgn0016698 0.06801 devo
FBgn0016701 0.00251 devo
FBgn0016756 0.07916 devo
FBgn0016794 0.0719 devo
FBgn0016970 0.16383 devo
FBgn0016978 0.03748 devo
FBgn0016984 0.06539 devo
FBgn0017418 0.04631 devo
FBgn0017551 0.13851 devo
FBgn0019650 0.05435 devo
FBgn0019686 0.03197 devo
FBgn0019828 0.216 devo
FBgn0019830 0.02175 devo
FBgn0019960 0.07523 devo
FBgn0019972 0.0374 devo
FBgn0020238 0.01618 devo
FBgn0020248 0.04006 devo
FBgn0020249 0.00948 devo
FBgn0020251 0.03801 devo
FBgn0020269 0.07613 devo
FBgn0020278 0.11465 devo
FBgn0020294 0.03122 devo
FBgn0020299 0.04494 devo
FBgn0020307 0.04124 devo
FBgn0020309 0.04325 devo
FBgn0020379 0.05179 devo
FBgn0020386 0.068 devo
FBgn0020391 0.03834 devo
FBgn0020392 0.0549 devo
FBgn0020407 0.04855 devo
FBgn0020412 0.11333 devo
FBgn0020415 0.06423 devo
FBgn0020416 0.07919 devo
FBgn0020440 0.08169 devo
FBgn0020496 0.04045 devo
FBgn0020510 0.01079 devo
FBgn0020521 0.04271 devo
FBgn0020616 0.01703 devo
FBgn0020618 0.00756 devo
FBgn0020626 0.04392 devo
FBgn0020637 0.18381 devo
FBgn0020638 0.17783 devo
FBgn0020639 0.12561 devo
FBgn0020640 0.23227 devo
FBgn0020644 0.24388 devo
FBgn0020645 0.19125 devo
FBgn0020653 0.0458 devo
FBgn0020764 0.05237 devo
FBgn0020765 0.06068 devo
FBgn0020880 0.09301 devo
FBgn0020887 0.05613 devo
FBgn0021760 0.04509 devo
FBgn0021761 0.08346 devo
FBgn0021765 0.02068 devo
FBgn0021768 0.06548 devo
FBgn0021776 0.04851 devo
FBgn0021800 0.12571 devo
FBgn0021825 0.02865 devo
FBgn0021875 0.11307 devo
FBgn0022027 0.06023 devo
FBgn0022238 0.00412 devo
FBgn0022382 0.09722 devo
FBgn0022724 0.06432 devo
FBgn0022740 0.13068 devo
FBgn0023000 0.12215 devo
FBgn0023001 0.03278 devo
FBgn0023076 0.08289 devo
FBgn0023081 0.04625 devo
FBgn0023083 0.03441 devo
FBgn0023091 0.07475 devo
FBgn0023094 0.03261 devo
FBgn0023130 0.09811 devo
FBgn0023143 0.04023 devo
FBgn0023167 0.0062 devo
FBgn0023169 0.02274 devo
FBgn0023172 0.10007 devo
FBgn0023175 0.05038 devo
FBgn0023179 0.04032 devo
FBgn0023212 0.04192 devo
FBgn0023216 0.09911 devo
FBgn0023388 0.05723 devo
FBgn0023458 0.03469 devo
FBgn0023489 0.07524 devo
FBgn0023506 0.08283 devo
FBgn0023509 0.09767 devo
FBgn0023510 0.01723 devo
FBgn0023511 0.07963 devo
FBgn0023517 0.05866 devo
FBgn0024177 0.09185 devo
FBgn0024189 0.06305 devo
FBgn0024194 0.08537 devo
FBgn0024196 1e-04 devo
FBgn0024227 0.03632 devo
FBgn0024236 0.09885 devo
FBgn0024245 0.02468 devo
FBgn0024249 0.10106 devo
FBgn0024273 0.11326 devo
FBgn0024288 0.1102 devo
FBgn0024291 0.0854 devo
FBgn0024321 0.12866 devo
FBgn0024361 0.02579 devo
FBgn0024371 0.08497 devo
FBgn0024432 0.0037 devo
FBgn0024509 0.03665 devo
FBgn0024689 0.032 devo
FBgn0024833 0.00137 devo
FBgn0024889 0.05207 devo
FBgn0024921 0.02185 devo
FBgn0024958 0.05164 devo
FBgn0024980 0.06732 devo
FBgn0025352 0.03771 devo
FBgn0025391 0.10183 devo
FBgn0025455 0.09583 devo
FBgn0025463 0.01798 devo
FBgn0025469 0.06369 devo
FBgn0025525 0.07696 devo
FBgn0025549 0.08472 devo
FBgn0025578 0.12193 devo
FBgn0025615 0.14592 devo
FBgn0025630 0.11537 devo
FBgn0025631 0.103 devo
FBgn0025637 0.00173 devo
FBgn0025638 0.00708 devo
FBgn0025641 0.01745 devo
FBgn0025679 0.06342 devo
FBgn0025716 0.00954 devo
FBgn0025725 0.01638 devo
FBgn0025726 0.10132 devo
FBgn0025739 0.10689 devo
FBgn0025740 0.03743 devo
FBgn0025741 0.01918 devo
FBgn0025743 0.05508 devo
FBgn0025776 0.09437 devo
FBgn0025781 0.04704 devo
FBgn0025790 0.04024 devo
FBgn0025800 0.02685 devo
FBgn0025815 0.01834 devo
FBgn0025825 0.01286 devo
FBgn0025830 0.04674 devo
FBgn0025865 0.05065 devo
FBgn0025866 0.03798 devo
FBgn0025878 0.07639 devo
FBgn0025879 0.16705 devo
FBgn0026015 0.04013 devo
FBgn0026061 0.06568 devo
FBgn0026077 0.02601 devo
FBgn0026080 0.03188 devo
FBgn0026084 0.0317 devo
FBgn0026179 0.04424 devo
FBgn0026181 0.0294 devo
FBgn0026192 0.02825 devo
FBgn0026199 0.1255 devo
FBgn0026239 0.09079 devo
FBgn0026252 0.02956 devo
FBgn0026263 0.14292 devo
FBgn0026309 0.08905 devo
FBgn0026313 0.05515 devo
FBgn0026317 0.07876 devo
FBgn0026320 0.08509 devo
FBgn0026361 0.03607 devo
FBgn0026369 0.08262 devo
FBgn0026371 0.08878 devo
FBgn0026375 0.01655 devo
FBgn0026400 0.02093 devo
FBgn0026402 0.04214 devo
FBgn0026403 0.08968 devo
FBgn0026409 0.07148 devo
FBgn0026415 0.04424 devo
FBgn0026417 0.06655 devo
FBgn0026430 0.09311 devo
FBgn0026431 0.16636 devo
FBgn0026433 0.20897 devo
FBgn0026439 0.01224 devo
FBgn0026479 0.03179 devo
FBgn0026562 0.05539 devo
FBgn0026597 0.06809 devo
FBgn0026598 0.04439 devo
FBgn0026619 0.09556 devo
FBgn0026620 0.15006 devo
FBgn0026630 0.09158 devo
FBgn0026722 0.04215 devo
FBgn0027054 0.01219 devo
FBgn0027055 0.05005 devo
FBgn0027057 0.03355 devo
FBgn0027088 0.02676 devo
FBgn0027090 0.04195 devo
FBgn0027108 0.02404 devo
FBgn0027111 0.05711 devo
FBgn0027296 0.06319 devo
FBgn0027335 0.0297 devo
FBgn0027356 0.0596 devo
FBgn0027364 0.04643 devo
FBgn0027492 0.03614 devo
FBgn0027495 0.04335 devo
FBgn0027506 0.03823 devo
FBgn0027509 0.07261 devo
FBgn0027513 0.14197 devo
FBgn0027528 0.06096 devo
FBgn0027537 0.14932 devo
FBgn0027539 0.05579 devo
FBgn0027548 0.02081 devo
FBgn0027592 0.03339 devo
FBgn0027598 0.14957 devo
FBgn0027609 0.06583 devo
FBgn0027616 0.07631 devo
FBgn0027620 0.08661 devo
FBgn0027779 0.0359 devo
FBgn0027788 0.06229 devo
FBgn0027868 0.06815 devo
FBgn0027889 0.09697 devo
FBgn0027932 0.1997 devo
FBgn0027948 0.05987 devo
FBgn0027950 0.03468 devo
FBgn0028292 0.04789 devo
FBgn0028379 0.24034 devo
FBgn0028381 0.05238 devo
FBgn0028410 0.16179 devo
FBgn0028421 0.04037 devo
FBgn0028427 0.01723 devo
FBgn0028484 0.06709 devo
FBgn0028500 0.04349 devo
FBgn0028538 0.01484 devo
FBgn0028552 0.05529 devo
FBgn0028577 0.02263 devo
FBgn0028582 0.10794 devo
FBgn0028622 0.0382 devo
FBgn0028645 0.06202 devo
FBgn0028662 0.03381 devo
FBgn0028685 0.00714 devo
FBgn0028704 0.10928 devo
FBgn0028734 0.0986 devo
FBgn0028789 0.07536 devo
FBgn0028836 0.06441 devo
FBgn0028837 0.03114 devo
FBgn0028844 0.14971 devo
FBgn0028871 0.07229 devo
FBgn0028894 0.02229 devo
FBgn0028956 0.15009 devo
FBgn0028969 0.05284 devo
FBgn0028978 0.05272 devo
FBgn0028980 0.05573 devo
FBgn0028991 0.03431 devo
FBgn0028992 0.03853 devo
FBgn0028996 0.12971 devo
FBgn0028999 0.08475 devo
FBgn0029002 0.20819 devo
FBgn0029006 0.05577 devo
FBgn0029067 0.01061 devo
FBgn0029082 0.03933 devo
FBgn0029088 0.06938 devo
FBgn0029092 0.06691 devo
FBgn0029093 0.04322 devo
FBgn0029117 0.10389 devo
FBgn0029131 0.02788 devo
FBgn0029161 0.01917 devo
FBgn0029170 0.16625 devo
FBgn0029502 0.07213 devo
FBgn0029503 0.08781 devo
FBgn0029504 0.12937 devo
FBgn0029679 0.08296 devo
FBgn0029687 0.19784 devo
FBgn0029696 0.20208 devo
FBgn0029709 0.04049 devo
FBgn0029778 0.05449 devo
FBgn0029800 0.16058 devo
FBgn0029811 0.04631 devo
FBgn0029818 0.06621 devo
FBgn0029830 0.05571 devo
FBgn0029856 0.04118 devo
FBgn0029857 0.09041 devo
FBgn0029870 0.02882 devo
FBgn0029878 0.09079 devo
FBgn0029881 0.08821 devo
FBgn0029882 0.06966 devo
FBgn0029891 0.06044 devo
FBgn0029903 0.04439 devo
FBgn0029906 0.09564 devo
FBgn0029907 0.11294 devo
FBgn0029939 0.071 devo
FBgn0029943 0.03632 devo
FBgn0029944 0.05752 devo
FBgn0029970 0.05134 devo
FBgn0029976 0.04185 devo
FBgn0029977 0.1338 devo
FBgn0030001 0.07782 devo
FBgn0030003 0.07189 devo
FBgn0030037 0.03247 devo
FBgn0030054 0.09653 devo
FBgn0030057 0.0882 devo
FBgn0030089 0.04639 devo
FBgn0030090 0.14442 devo
FBgn0030092 0.15567 devo
FBgn0030096 0.05857 devo
FBgn0030268 0.06569 devo
FBgn0030313 0.18748 devo
FBgn0030328 0.0922 devo
FBgn0030343 0.04539 devo
FBgn0030394 0.06372 devo
FBgn0030398 0.09231 devo
FBgn0030420 0.32189 devo
FBgn0030438 0.34971 devo
FBgn0030439 0.15455 devo
FBgn0030486 0.11567 devo
FBgn0030494 0.10688 devo
FBgn0030520 0.0625 devo
FBgn0030541 0.26699 devo
FBgn0030587 0.07093 devo
FBgn0030588 0.0789 devo
FBgn0030589 0.09101 devo
FBgn0030590 0.04114 devo
FBgn0030592 0.02244 devo
FBgn0030594 0.13362 devo
FBgn0030596 0.06182 devo
FBgn0030597 0.14508 devo
FBgn0030598 0.01824 devo
FBgn0030691 0.04818 devo
FBgn0030694 0.08955 devo
FBgn0030766 0.09247 devo
FBgn0030795 0.07172 devo
FBgn0030800 0.01265 devo
FBgn0030805 0.08168 devo
FBgn0030855 0.07031 devo
FBgn0030870 0.0128 devo
FBgn0030887 0.04932 devo
FBgn0030893 0.08165 devo
FBgn0030899 0.17384 devo
FBgn0030960 0.01171 devo
FBgn0030974 0.06744 devo
FBgn0031006 0.07239 devo
FBgn0031030 0.03408 devo
FBgn0031068 0.05696 devo
FBgn0031086 0.10815 devo
FBgn0031090 0.04293 devo
FBgn0031091 0.25078 devo
FBgn0031097 0.05239 devo
FBgn0031098 0.04989 devo
FBgn0031114 0.04094 devo
FBgn0031148 0.06829 devo
FBgn0031256 0.01703 devo
FBgn0031263 0.06917 devo
FBgn0031267 0.09324 devo
FBgn0031268 0.06002 devo
FBgn0031282 0.04273 devo
FBgn0031298 0.05589 devo
FBgn0031312 0.1424 devo
FBgn0031315 0.12378 devo
FBgn0031381 0.04746 devo
FBgn0031390 0.04975 devo
FBgn0031392 0.09295 devo
FBgn0031399 0.04695 devo
FBgn0031414 0.04778 devo
FBgn0031437 0.02395 devo
FBgn0031467 0.10838 devo
FBgn0031500 0.07619 devo
FBgn0031518 0.09469 devo
FBgn0031571 0.0294 devo
FBgn0031604 0.01456 devo
FBgn0031637 0.08059 devo
FBgn0031646 0.18516 devo
FBgn0031702 0.06565 devo
FBgn0031728 0.01535 devo
FBgn0031737 0.03907 devo
FBgn0031745 0.0321 devo
FBgn0031759 0.03854 devo
FBgn0031779 0.04839 devo
FBgn0031820 0.16001 devo
FBgn0031850 0.03641 devo
FBgn0031853 0.07039 devo
FBgn0031866 0.07964 devo
FBgn0031872 0.0991 devo
FBgn0031882 0.01324 devo
FBgn0031885 0.05502 devo
FBgn0031902 0.05799 devo
FBgn0031903 0.06977 devo
FBgn0031905 0.03961 devo
FBgn0031971 0.05985 devo
FBgn0031977 0.01481 devo
FBgn0031985 0.02386 devo
FBgn0031988 0.11191 devo
FBgn0031990 0.12538 devo
FBgn0032016 0.0183 devo
FBgn0032059 0.01442 devo
FBgn0032078 0.04447 devo
FBgn0032089 0.78723 devo
FBgn0032105 0.11367 devo
FBgn0032125 0.07669 devo
FBgn0032126 0.2606 devo
FBgn0032150 0.08235 devo
FBgn0032208 0.05025 devo
FBgn0032209 0.1135 devo
FBgn0032223 0.18134 devo
FBgn0032234 0.14643 devo
FBgn0032248 0.0026 devo
FBgn0032250 0.04303 devo
FBgn0032252 0.1 devo
FBgn0032290 0.03503 devo
FBgn0032292 0.00489 devo
FBgn0032311 0.19384 devo
FBgn0032336 0.08002 devo
FBgn0032363 0.03859 devo
FBgn0032368 0.15851 devo
FBgn0032378 0.02 devo
FBgn0032401 0.04238 devo
FBgn0032407 0.05742 devo
FBgn0032409 0.02916 devo
FBgn0032414 0.08887 devo
FBgn0032421 0.06377 devo
FBgn0032447 0.02783 devo
FBgn0032465 0.06696 devo
FBgn0032473 0.10994 devo
FBgn0032475 0.05589 devo
FBgn0032499 0.08603 devo
FBgn0032515 0.10018 devo
FBgn0032538 0.09262 devo
FBgn0032629 0.12475 devo
FBgn0032651 0.0223 devo
FBgn0032654 0.09217 devo
FBgn0032666 0.06171 devo
FBgn0032683 0.04708 devo
FBgn0032699 0.04901 devo
FBgn0032705 0.08312 devo
FBgn0032706 0.05937 devo
FBgn0032725 0.00275 devo
FBgn0032730 0.0858 devo
FBgn0032731 0.02208 devo
FBgn0032741 0.07054 devo
FBgn0032752 0.1222 devo
FBgn0032812 0.07787 devo
FBgn0032816 0.02666 devo
FBgn0032821 0.04178 devo
FBgn0032840 0.11445 devo
FBgn0032848 0.07354 devo
FBgn0032859 0.02235 devo
FBgn0032869 0.13453 devo
FBgn0032876 0.0735 devo
FBgn0032901 0.07028 devo
FBgn0032929 0.07833 devo
FBgn0032988 0.07408 devo
FBgn0033015 0.04456 devo
FBgn0033032 0.04693 devo
FBgn0033033 0.09159 devo
FBgn0033050 0.07055 devo
FBgn0033051 0.14039 devo
FBgn0033055 0.05995 devo
FBgn0033081 0.08902 devo
FBgn0033089 0.00511 devo
FBgn0033096 0.0708 devo
FBgn0033127 0.12368 devo
FBgn0033155 0.04549 devo
FBgn0033179 0.06701 devo
FBgn0033210 0.03643 devo
FBgn0033215 0.08939 devo
FBgn0033246 0.02331 devo
FBgn0033247 0.01985 devo
FBgn0033260 0.02084 devo
FBgn0033348 0.13256 devo
FBgn0033378 0.00649 devo
FBgn0033413 0.05392 devo
FBgn0033427 0.19596 devo
FBgn0033447 0.04665 devo
FBgn0033448 0.10523 devo
FBgn0033476 0.09974 devo
FBgn0033486 0.09598 devo
FBgn0033494 0.04411 devo
FBgn0033521 0.02457 devo
FBgn0033539 0.04207 devo
FBgn0033547 0.05642 devo
FBgn0033597 0.08292 devo
FBgn0033598 0.09982 devo
FBgn0033600 0.17313 devo
FBgn0033602 0.04945 devo
FBgn0033603 0.08014 devo
FBgn0033623 0.07871 devo
FBgn0033633 0.05487 devo
FBgn0033645 0.09034 devo
FBgn0033649 0.24683 devo
FBgn0033652 0.23737 devo
FBgn0033654 0.11104 devo
FBgn0033658 0.09223 devo
FBgn0033667 0.03794 devo
FBgn0033668 0.02673 devo
FBgn0033669 0.07984 devo
FBgn0033688 0.00317 devo
FBgn0033690 0.04767 devo
FBgn0033726 0.09253 devo
FBgn0033728 0.04785 devo
FBgn0033729 0.11407 devo
FBgn0033730 0.08088 devo
FBgn0033731 0.03108 devo
FBgn0033748 0.11635 devo
FBgn0033749 0.12744 devo
FBgn0033753 0.04355 devo
FBgn0033757 0.05117 devo
FBgn0033773 0.13489 devo
FBgn0033782 0.06979 devo
FBgn0033791 0.03393 devo
FBgn0033799 0.04855 devo
FBgn0033812 0.07868 devo
FBgn0033813 0.1607 devo
FBgn0033817 0.10904 devo
FBgn0033859 0.02815 devo
FBgn0033860 0.06514 devo
FBgn0033867 0.11904 devo
FBgn0033869 0.0843 devo
FBgn0033889 0.13807 devo
FBgn0033890 0.05701 devo
FBgn0033902 0.01349 devo
FBgn0033916 0.0746 devo
FBgn0033921 0.27188 devo
FBgn0033935 0.05278 devo
FBgn0033942 0.15169 devo
FBgn0033968 0.28271 devo
FBgn0033985 0.04625 devo
FBgn0033988 0.03356 devo
FBgn0034005 0.44885 devo
